YYYY-MM-DD	hh:mm:ss	Status	Interval [s]	n1	n2	n3	n4	n5	n6	n7	n8	n9	n10	n11	n12	n13	n14	n15	n16	n17	n18	n19	n20	RI [mm/h]	RA [mm]	RAT [mm]
2013-06-10	16:18:00		30	0	1	3	4	5	5	8	4	1	1	4	0	0	0	0	0	0	0	0	0	0.809	0.007	0.007
2013-06-10	16:18:30		30	0	1	5	7	5	2	6	5	3	0	2	0	0	0	0	0	0	0	0	0	0.642	0.005	0.012
2013-06-10	16:19:00		30	0	1	2	1	0	0	5	3	1	4	1	4	0	0	0	0	0	0	0	0	1.127	0.009	0.021
2013-06-10	16:19:30		30	0	0	0	4	4	6	4	4	6	0	2	1	0	0	0	0	0	0	0	0	0.861	0.007	0.029
2013-06-10	16:20:00		30	0	1	2	4	2	7	7	2	3	2	1	2	0	0	0	0	0	0	0	0	0.902	0.008	0.036
2013-06-10	16:20:30		30	0	1	1	4	3	3	7	1	2	1	3	1	0	0	0	0	0	0	0	0	0.768	0.006	0.043
2013-06-10	16:21:00		30	0	1	2	3	4	2	4	4	1	1	1	0	0	0	0	0	0	0	0	0	0.435	0.004	0.046
2013-06-10	16:21:30		30	0	1	0	3	5	4	8	6	1	1	6	1	0	0	0	0	0	0	0	0	1.169	0.010	0.056
2013-06-10	16:22:00		30	0	1	1	1	4	4	6	1	0	4	2	3	0	1	0	0	0	0	0	0	1.342	0.011	0.067
2013-06-10	16:22:30		30	0	0	2	6	2	4	9	4	0	4	0	0	0	0	0	0	0	0	0	0	0.583	0.005	0.072
2013-06-10	16:23:00		30	0	0	4	7	1	2	3	3	4	4	2	0	0	0	0	0	0	0	0	0	0.779	0.006	0.078
2013-06-10	16:23:30		30	0	1	3	10	4	5	9	11	1	2	2	1	0	0	0	0	0	0	0	0	1.076	0.009	0.087
2013-06-10	16:24:00		30	0	0	1	2	1	5	8	6	3	3	2	1	0	0	0	0	0	0	0	0	1.004	0.008	0.096
2013-06-10	16:24:30		30	0	3	3	1	6	4	9	4	1	0	6	0	1	0	0	0	0	0	0	0	1.149	0.010	0.105
2013-06-10	16:25:00		30	0	0	3	5	3	9	3	1	3	2	4	0	0	1	0	0	0	0	0	0	1.102	0.009	0.115
2013-06-10	16:25:30		30	0	0	1	5	5	8	5	6	3	1	1	0	0	1	0	0	0	0	0	0	0.962	0.008	0.123
2013-06-10	16:26:00		30	0	0	1	6	2	5	11	4	1	1	2	1	1	0	0	0	0	0	0	0	1.032	0.009	0.131
2013-06-10	16:26:30		30	0	0	1	0	4	6	6	3	5	2	1	1	0	0	0	0	0	0	0	0	0.840	0.007	0.138
2013-06-10	16:27:00		30	0	0	3	4	6	4	4	5	1	0	2	1	0	0	0	0	0	0	0	0	0.675	0.006	0.144
2013-06-10	16:27:30		30	0	3	3	4	3	8	6	3	0	0	2	1	0	0	0	0	0	0	0	0	0.632	0.005	0.149
2013-06-10	16:28:00		30	0	1	1	0	3	6	3	5	1	1	1	0	0	0	0	0	0	0	0	0	0.467	0.004	0.153
2013-06-10	16:28:30		30	0	0	3	0	3	6	5	1	3	1	1	4	0	0	0	0	0	0	0	0	1.052	0.009	0.162
2013-06-10	16:29:00		30	0	0	4	7	1	1	6	1	2	3	3	1	0	0	0	0	0	0	0	0	0.851	0.007	0.169
2013-06-10	16:29:30		30	0	0	2	4	1	3	6	5	0	4	3	1	1	0	0	0	0	0	0	0	1.163	0.010	0.179
2013-06-10	16:30:00		30	0	2	3	4	1	7	10	5	2	0	4	0	0	0	0	0	0	0	0	0	0.856	0.007	0.186
2013-06-10	16:30:30		30	0	0	1	2	4	4	6	2	2	0	1	0	0	0	0	0	0	0	0	0	0.408	0.003	0.189
2013-06-10	16:31:00		30	0	0	0	0	1	5	3	4	0	3	3	1	0	0	0	0	0	0	0	0	0.807	0.007	0.196
2013-06-10	16:31:30		30	0	0	0	3	3	5	3	5	3	3	0	1	0	0	0	0	0	0	0	0	0.724	0.006	0.202
2013-06-10	16:32:00		30	0	0	1	2	1	1	5	1	1	1	5	0	1	0	0	0	0	0	0	0	0.898	0.007	0.209
2013-06-10	16:32:30		30	0	0	0	1	1	2	10	4	3	1	2	0	1	0	0	0	0	0	0	0	0.901	0.008	0.217
2013-06-10	16:33:00		30	0	0	0	0	3	6	7	4	2	1	1	0	0	0	0	0	0	0	0	0	0.547	0.005	0.221
2013-06-10	16:33:30		30	0	0	0	4	0	6	9	4	3	2	3	0	0	0	0	0	0	0	0	0	0.856	0.007	0.228
2013-06-10	16:34:00		30	0	0	2	3	0	5	3	3	2	1	2	0	0	0	0	0	0	0	0	0	0.523	0.004	0.233
2013-06-10	16:34:30		30	0	0	2	4	5	9	6	5	2	1	1	0	0	0	0	0	0	0	0	0	0.618	0.005	0.238
2013-06-10	16:35:00		30	0	1	3	5	5	4	7	5	1	1	1	0	0	0	0	0	0	0	0	0	0.551	0.005	0.243
2013-06-10	16:35:30		30	0	0	2	6	3	7	7	4	2	0	2	0	0	0	0	0	0	0	0	0	0.612	0.005	0.248
2013-06-10	16:36:00		30	1	2	2	2	4	1	4	5	2	0	1	0	0	0	0	0	0	0	0	0	0.439	0.004	0.251
2013-06-10	16:36:30		30	0	1	3	4	5	5	2	5	3	0	0	0	0	0	0	0	0	0	0	0	0.410	0.003	0.255
2013-06-10	16:37:00		30	0	1	5	5	3	6	7	4	6	2	0	0	0	0	0	0	0	0	0	0	0.718	0.006	0.261
2013-06-10	16:37:30		30	0	2	1	2	2	5	4	3	1	0	3	0	0	0	0	0	0	0	0	0	0.536	0.004	0.265
2013-06-10	16:38:00		30	0	1	1	6	3	5	2	3	2	0	0	0	1	0	0	0	0	0	0	0	0.516	0.004	0.270
2013-06-10	16:38:30		30	1	3	1	4	4	4	4	2	2	1	3	0	0	0	0	0	0	0	0	0	0.618	0.005	0.275
2013-06-10	16:39:00		30	0	1	2	5	2	2	7	4	3	1	0	0	0	0	0	0	0	0	0	0	0.481	0.004	0.279
2013-06-10	16:39:30		30	0	0	0	2	4	9	2	5	5	1	0	0	0	0	0	0	0	0	0	0	0.572	0.005	0.283
2013-06-10	16:40:00		30	0	0	1	3	1	3	7	3	3	4	1	0	0	0	0	0	0	0	0	0	0.707	0.006	0.289
2013-06-10	16:40:30		30	0	1	2	3	3	5	5	6	7	4	2	0	0	0	0	0	0	0	0	0	1.054	0.009	0.298
2013-06-10	16:41:00		30	0	1	2	2	6	4	9	4	4	3	1	0	0	0	0	0	0	0	0	0	0.795	0.007	0.305
2013-06-10	16:41:30		30	0	0	6	3	5	5	8	3	3	2	0	0	0	0	0	0	0	0	0	0	0.573	0.005	0.310
2013-06-10	16:42:00		30	0	1	2	1	5	7	4	5	1	1	1	0	0	0	0	0	0	0	0	0	0.511	0.004	0.314
2013-06-10	16:42:30		30	0	0	1	5	1	3	8	4	2	1	1	0	0	0	0	0	0	0	0	0	0.544	0.005	0.318
2013-06-10	16:43:00		30	0	0	3	4	7	8	7	3	2	1	2	0	0	0	0	0	0	0	0	0	0.668	0.006	0.324
2013-06-10	16:43:30		30	0	2	7	3	3	5	7	3	2	4	2	3	0	0	0	0	0	0	0	0	1.232	0.010	0.334
2013-06-10	16:44:00		30	0	1	2	7	3	8	4	3	4	1	2	0	0	0	0	0	0	0	0	0	0.688	0.006	0.340
2013-06-10	16:44:30		30	0	2	1	6	6	5	7	6	1	2	3	1	0	0	0	0	0	0	0	0	0.975	0.008	0.348
2013-06-10	16:45:00		30	0	1	2	2	1	7	6	6	1	3	2	0	0	0	0	0	0	0	0	0	0.760	0.006	0.354
2013-06-10	16:45:30		30	0	0	1	3	2	8	6	5	3	3	2	2	0	0	0	0	0	0	0	0	1.122	0.009	0.364
2013-06-10	16:46:00		30	0	0	2	4	4	6	13	2	1	0	0	0	0	0	0	0	0	0	0	0	0.428	0.004	0.367
2013-06-10	16:46:30		30	0	1	5	3	2	4	6	6	0	0	2	1	0	0	0	0	0	0	0	0	0.675	0.006	0.373
2013-06-10	16:47:00		30	0	2	2	0	3	2	9	5	2	3	0	1	0	0	0	0	0	0	0	0	0.753	0.006	0.379
2013-06-10	16:47:30		30	0	0	4	4	4	5	7	5	1	2	4	1	0	0	0	0	0	0	0	0	1.019	0.008	0.388
2013-06-10	16:48:00		30	0	0	3	3	4	4	6	4	4	4	1	1	1	0	0	0	0	0	0	0	1.155	0.010	0.397
2013-06-10	16:48:30		30	0	0	1	5	2	9	6	9	2	1	1	0	0	0	0	0	0	0	0	0	0.721	0.006	0.403
2013-06-10	16:49:00		30	0	0	4	6	6	15	10	5	3	1	0	0	1	0	0	0	0	0	0	0	0.934	0.008	0.411
2013-06-10	16:49:30		30	0	0	6	8	7	1	11	1	1	5	2	1	0	0	0	0	0	0	0	0	0.966	0.008	0.419
2013-06-10	16:50:00		30	0	0	2	8	6	9	6	4	6	4	2	0	0	0	0	0	0	0	0	0	1.042	0.009	0.428
2013-06-10	16:50:30		30	0	0	3	7	7	9	5	4	4	1	2	1	0	0	0	0	0	0	0	0	0.914	0.008	0.435
2013-06-10	16:51:00		30	0	0	4	4	4	6	8	6	4	2	2	0	0	0	0	0	0	0	0	0	0.884	0.007	0.443
2013-06-10	16:51:30		30	0	1	3	9	3	2	9	1	5	0	3	1	0	0	0	0	0	0	0	0	0.886	0.007	0.450
2013-06-10	16:52:00		30	0	1	5	3	6	7	8	3	3	2	1	2	0	0	0	0	0	0	0	0	0.975	0.008	0.458
2013-06-10	16:52:30		30	0	1	5	5	7	4	8	8	3	1	3	0	0	0	0	0	0	0	0	0	0.935	0.008	0.466
2013-06-10	16:53:00		30	0	1	4	3	5	8	14	8	3	3	4	1	0	0	0	0	0	0	0	0	1.406	0.012	0.478
2013-06-10	16:53:30		30	0	1	8	1	8	6	7	10	3	0	2	1	0	1	0	0	0	0	0	0	1.290	0.011	0.489
2013-06-10	16:54:00		30	0	0	4	4	10	6	9	7	2	3	1	0	0	0	0	0	0	0	0	0	0.850	0.007	0.496
2013-06-10	16:54:30		30	0	2	3	6	5	9	11	4	3	1	1	1	1	0	0	0	0	0	0	0	1.092	0.009	0.505
2013-06-10	16:55:00		30	0	0	4	2	4	12	13	2	1	2	1	0	0	0	0	0	0	0	0	0	0.686	0.006	0.510
2013-06-10	16:55:30		30	0	0	2	2	3	11	9	3	0	2	1	1	0	0	0	0	0	0	0	0	0.729	0.006	0.517
2013-06-10	16:56:00		30	0	0	3	8	1	12	2	5	2	0	2	0	0	0	0	0	0	0	0	0	0.600	0.005	0.522
2013-06-10	16:56:30		30	0	0	1	4	4	13	5	5	3	0	1	0	0	0	0	0	0	0	0	0	0.616	0.005	0.527
2013-06-10	16:57:00		30	0	3	3	4	5	9	12	4	2	5	0	1	1	0	0	0	0	0	0	0	1.205	0.010	0.537
2013-06-10	16:57:30		30	0	1	3	7	6	9	15	4	0	1	3	0	0	0	0	0	0	0	0	0	0.855	0.007	0.544
2013-06-10	16:58:00		30	0	1	6	10	5	5	6	3	3	3	1	1	0	0	0	0	0	0	0	0	0.855	0.007	0.551
2013-06-10	16:58:30		30	0	2	3	6	3	10	12	4	2	4	2	1	0	0	0	0	0	0	0	0	1.109	0.009	0.560
2013-06-10	16:59:00		30	0	2	3	6	4	7	4	4	3	2	4	2	0	0	0	0	0	0	0	0	1.194	0.010	0.570
2013-06-10	16:59:30		30	0	2	4	4	2	12	4	2	3	3	1	0	1	0	0	0	0	0	0	0	0.888	0.007	0.578
2013-06-10	17:00:00		30	0	0	4	2	6	11	14	6	2	3	2	1	0	0	0	0	0	0	0	0	1.158	0.010	0.587
2013-06-10	17:00:30		30	0	2	3	7	3	10	6	3	1	1	1	1	0	0	0	0	0	0	0	0	0.674	0.006	0.593
2013-06-10	17:01:00		30	0	0	3	6	6	9	8	5	1	1	5	0	0	0	0	0	0	0	0	0	0.976	0.008	0.601
2013-06-10	17:01:30		30	0	1	4	8	4	6	11	4	3	1	2	1	0	0	0	0	0	0	0	0	0.936	0.008	0.609
2013-06-10	17:02:00		30	0	3	3	8	9	6	8	6	1	0	3	0	0	0	0	0	0	0	0	0	0.771	0.006	0.615
2013-06-10	17:02:30		30	0	1	2	9	6	4	7	5	1	5	0	1	0	0	0	0	0	0	0	0	0.858	0.007	0.622
2013-06-10	17:03:00		30	0	1	0	5	9	9	5	5	1	4	3	0	0	0	0	0	0	0	0	0	0.931	0.008	0.630
2013-06-10	17:03:30		30	0	0	3	5	7	2	11	6	4	1	3	0	0	0	0	0	0	0	0	0	0.947	0.008	0.638
2013-06-10	17:04:00		30	0	1	5	7	3	6	6	5	2	5	2	0	0	0	0	0	0	0	0	0	0.916	0.008	0.646
2013-06-10	17:04:30		30	0	1	4	4	4	8	10	2	4	3	1	0	0	0	0	0	0	0	0	0	0.791	0.007	0.652
2013-06-10	17:05:00		30	0	2	3	5	7	13	8	5	2	2	0	0	0	0	0	0	0	0	0	0	0.681	0.006	0.658
2013-06-10	17:05:30		30	0	2	4	7	7	9	14	13	4	0	1	1	0	0	0	0	0	0	0	0	1.196	0.010	0.668
2013-06-10	17:06:00		30	0	0	4	4	5	11	20	8	4	4	1	2	0	0	0	0	0	0	0	0	1.524	0.013	0.681
2013-06-10	17:06:30		30	0	2	1	9	4	9	14	9	3	2	0	0	0	0	0	0	0	0	0	0	0.901	0.008	0.688
2013-06-10	17:07:00		30	0	0	0	9	5	11	12	5	1	0	3	1	0	0	0	0	0	0	0	0	0.975	0.008	0.696
2013-06-10	17:07:30		30	0	1	5	6	5	7	11	9	3	2	1	0	0	0	0	0	0	0	0	0	0.920	0.008	0.704
2013-06-10	17:08:00		30	0	2	6	10	7	7	9	3	4	1	1	0	0	0	0	0	0	0	0	0	0.721	0.006	0.710
2013-06-10	17:08:30		30	0	2	2	14	6	9	4	2	4	1	1	1	0	0	0	0	0	0	0	0	0.768	0.006	0.716
2013-06-10	17:09:00		30	0	0	6	1	5	6	4	1	1	3	0	0	0	0	0	0	0	0	0	0	0.419	0.003	0.720
2013-06-10	17:09:30		30	0	0	1	7	6	6	9	5	1	2	1	0	0	0	0	0	0	0	0	0	0.671	0.006	0.725
2013-06-10	17:10:00		30	0	2	2	9	3	14	9	8	2	2	1	0	1	0	0	0	0	0	0	0	1.090	0.009	0.734
2013-06-10	17:10:30		30	0	0	4	6	6	8	9	2	0	3	0	2	0	0	0	0	0	0	0	0	0.821	0.007	0.741
2013-06-10	17:11:00		30	0	1	6	9	6	6	8	9	2	1	2	0	0	0	0	0	0	0	0	0	0.864	0.007	0.748
2013-06-10	17:11:30		30	0	2	5	8	7	9	5	4	3	5	1	1	0	0	0	0	0	0	0	0	1.025	0.009	0.757
2013-06-10	17:12:00		30	0	2	6	3	9	11	11	6	3	0	0	0	0	0	0	0	0	0	0	0	0.681	0.006	0.763
2013-06-10	17:12:30		30	1	1	4	9	6	13	10	5	0	0	0	0	0	0	0	0	0	0	0	0	0.524	0.004	0.767
2013-06-10	17:13:00		30	0	1	2	10	8	8	7	1	2	0	0	0	0	0	0	0	0	0	0	0	0.401	0.003	0.770
2013-06-10	17:13:30		30	0	1	4	10	7	6	10	7	0	0	1	0	0	0	0	0	0	0	0	0	0.613	0.005	0.775
2013-06-10	17:14:00		30	0	1	4	4	5	9	5	0	3	0	0	0	0	0	0	0	0	0	0	0	0.355	0.003	0.778
2013-06-10	17:14:30		30	0	3	5	8	6	6	4	7	1	0	0	0	0	0	0	0	0	0	0	0	0.455	0.004	0.782
2013-06-10	17:15:00		30	0	2	6	12	8	9	10	8	2	0	0	0	0	0	0	0	0	0	0	0	0.687	0.006	0.788
2013-06-10	17:15:30		30	0	1	4	6	11	9	8	6	0	0	0	0	0	0	0	0	0	0	0	0	0.498	0.004	0.792
2013-06-10	17:16:00		30	0	1	6	8	5	9	4	4	1	0	0	0	0	0	0	0	0	0	0	0	0.388	0.003	0.795
2013-06-10	17:16:30		30	0	0	7	6	4	13	2	8	1	1	0	0	0	0	0	0	0	0	0	0	0.556	0.005	0.800
2013-06-10	17:17:00		30	0	1	6	7	4	9	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0.282	0.002	0.802
2013-06-10	17:17:30		30	0	3	3	8	5	9	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0.223	0.002	0.804
2013-06-10	17:18:00		30	0	2	3	10	5	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0.191	0.002	0.806
2013-06-10	17:18:30		30	0	2	3	10	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.105	0.001	0.807
2013-06-10	17:19:00		30	0	1	4	3	4	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.126	0.001	0.808
2013-06-10	17:19:30		30	0	2	3	3	2	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0.150	0.001	0.809
2013-06-10	17:20:00		30	0	1	1	5	3	4	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0.241	0.002	0.811
2013-06-10	17:20:30		30	0	3	3	2	0	5	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0.206	0.002	0.813
2013-06-10	17:21:00		30	0	0	3	2	1	5	8	2	1	0	0	0	0	0	0	0	0	0	0	0	0.309	0.003	0.815
2013-06-10	17:21:30		30	0	1	3	5	1	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0.130	0.001	0.816
2013-06-10	17:22:00		30	0	0	1	1	4	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0.162	0.001	0.818
2013-06-10	17:22:30		30	0	3	1	5	3	6	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0.210	0.002	0.819
2013-06-10	17:23:00		30	1	3	1	2	4	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.081	0.001	0.820
2013-06-10	17:23:30		30	0	0	3	4	3	2	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0.235	0.002	0.822
2013-06-10	17:24:00		30	0	2	4	2	2	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0.124	0.001	0.823
2013-06-10	17:24:30		30	0	0	1	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.046	0.000	0.823
2013-06-10	17:25:00		30	0	1	0	1	1	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.136	0.001	0.825
2013-06-10	17:25:30		30	0	1	1	3	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0.105	0.001	0.825
2013-06-10	17:26:00		30	0	0	1	1	2	3	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0.186	0.002	0.827
2013-06-10	17:26:30		30	0	0	1	2	3	2	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0.205	0.002	0.829
2013-06-10	17:27:00		30	0	1	2	1	0	2	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0.153	0.001	0.830
2013-06-10	17:27:30		30	0	1	2	2	3	3	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0.201	0.002	0.832
2013-06-10	17:28:00		30	0	1	0	0	3	4	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0.209	0.002	0.833
2013-06-10	17:28:30		30	0	1	0	3	3	6	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0.240	0.002	0.835
