YYYY-MM-DD,hh:mm:ss,Status,Interval [s],n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,RI [mm/h],RA [mm],RAT [mm]
2013-08-20,13:00:00,,30,0,1,7,18,9,14,24,23,8,6,9,0,0,1,1,0,0,0,0,0,3.556,0.03,293.357
2013-08-20,13:00:30,,30,0,4,8,10,10,23,30,21,11,10,9,4,2,0,0,0,0,0,0,0,4.337,0.036,293.393
2013-08-20,13:01:00,,30,0,1,6,8,13,18,20,10,8,8,13,3,2,0,0,0,0,0,0,0,3.752,0.031,293.425
2013-08-20,13:01:30,,30,0,2,7,17,9,17,27,19,9,7,5,3,2,0,0,0,0,0,0,0,3.426,0.029,293.453
2013-08-20,13:02:00,,30,0,5,5,9,16,22,29,18,9,8,10,4,1,0,0,0,0,0,0,0,3.916,0.033,293.486
2013-08-20,13:02:30,,30,0,2,6,11,7,16,25,12,10,12,15,3,1,0,0,0,0,0,0,0,4.134,0.034,293.52
2013-08-20,13:03:00,,30,0,4,7,15,11,16,23,20,13,7,14,1,1,0,0,0,0,0,0,0,3.839,0.032,293.552
2013-08-20,13:03:30,,30,0,3,8,17,11,18,25,20,13,10,10,4,1,1,0,0,0,0,0,0,4.455,0.037,293.589
2013-08-20,13:04:00,,30,0,2,6,15,12,25,26,16,11,7,12,1,0,0,0,0,0,0,0,0,3.382,0.028,293.617
2013-08-20,13:04:30,,30,0,3,5,17,6,21,24,18,13,15,12,1,1,0,0,0,0,0,0,0,4.106,0.034,293.652
2013-08-20,13:05:00,,30,0,0,7,8,10,22,22,15,5,5,5,0,0,0,0,0,0,0,0,0,2.084,0.017,293.669
2013-08-20,13:05:30,,30,0,1,6,9,10,22,17,17,6,9,8,2,0,1,0,0,0,0,0,0,3.183,0.027,293.696
2013-08-20,13:06:00,,30,1,1,3,7,9,13,13,15,9,10,8,3,0,0,0,0,0,0,0,0,2.984,0.025,293.72
2013-08-20,13:06:30,,30,0,3,1,10,10,14,17,16,13,8,4,2,1,0,0,0,0,0,0,0,2.884,0.024,293.744
2013-08-20,13:07:00,,30,0,0,8,4,9,16,26,16,8,5,9,0,0,0,0,0,0,0,0,0,2.588,0.022,293.766
2013-08-20,13:07:30,,30,0,1,8,8,11,18,15,11,4,9,10,4,0,0,0,0,0,0,0,0,3.021,0.025,293.791
2013-08-20,13:08:00,,30,0,1,3,8,6,21,18,13,7,6,7,2,0,0,0,0,0,0,0,0,2.524,0.021,293.812
2013-08-20,13:08:30,,30,0,3,2,7,7,17,18,14,5,8,5,1,0,0,0,0,0,0,0,0,2.227,0.019,293.831
2013-08-20,13:09:00,,30,0,0,5,6,5,11,14,11,11,8,6,2,0,0,0,0,0,0,0,0,2.489,0.021,293.852
2013-08-20,13:09:30,,30,0,1,1,9,11,12,13,5,9,10,4,0,0,0,0,0,0,0,0,0,1.906,0.016,293.867
2013-08-20,13:10:00,,30,0,0,7,2,9,12,21,6,8,4,2,1,0,0,0,0,0,0,0,0,1.629,0.014,293.881
2013-08-20,13:10:30,,30,0,0,3,9,13,10,21,9,4,4,6,1,0,0,0,0,0,0,0,0,1.918,0.016,293.897
2013-08-20,13:11:00,,30,0,0,4,10,5,14,18,10,3,4,3,1,0,0,0,0,0,0,0,0,1.586,0.013,293.91
2013-08-20,13:11:30,,30,0,1,10,6,4,17,13,7,3,3,2,0,0,0,0,0,0,0,0,0,1.142,0.01,293.92
2013-08-20,13:12:00,,30,0,2,4,5,6,6,15,7,1,3,3,0,0,0,0,0,0,0,0,0,1.07,0.009,293.929
2013-08-20,13:12:30,,30,0,0,6,6,6,9,10,6,2,4,0,0,0,0,0,0,0,0,0,0,0.825,0.007,293.936
2013-08-20,13:13:00,,30,0,1,2,5,3,10,11,7,4,1,2,0,0,0,0,0,0,0,0,0,0.941,0.008,293.943
2013-08-20,13:13:30,,30,0,0,4,3,3,11,8,6,1,2,0,0,0,0,0,0,0,0,0,0,0.618,0.005,293.949
2013-08-20,13:14:00,,30,0,3,1,3,6,6,7,2,6,2,1,0,0,0,0,0,0,0,0,0,0.751,0.006,293.955
2013-08-20,13:14:30,,30,0,0,3,4,2,9,4,2,0,2,2,0,0,0,0,0,0,0,0,0,0.539,0.004,293.959
2013-08-20,13:15:00,,30,0,1,4,5,5,5,4,2,1,1,1,0,0,0,0,0,0,0,0,0,0.422,0.004,293.963
2013-08-20,13:15:30,,30,0,0,4,6,5,5,5,3,1,0,1,0,0,0,0,0,0,0,0,0,0.413,0.003,293.966
2013-08-20,13:16:00,,30,0,1,1,2,4,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0.225,0.002,293.968
2013-08-20,13:16:30,,30,0,0,2,1,2,2,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0.213,0.002,293.97
2013-08-20,13:17:00,,30,0,0,2,4,5,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.153,0.001,293.971
2013-08-20,13:17:30,,30,0,0,2,2,4,3,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0.234,0.002,293.973
2013-08-20,13:18:00,,30,0,0,0,0,6,4,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0.26,0.002,293.975
2013-08-20,13:18:30,,30,0,0,5,3,3,4,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0.207,0.002,293.977
2013-08-20,13:19:00,,30,0,0,0,0,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0.162,0.001,293.978
2013-08-20,13:19:30,,30,0,0,1,1,2,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0.147,0.001,293.98
2013-08-20,13:20:00,,30,0,1,1,0,1,2,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0.259,0.002,293.982
2013-08-20,13:20:30,,30,0,0,2,0,2,5,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0.28,0.002,293.984
2013-08-20,13:21:00,,30,0,1,1,1,2,1,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0.225,0.002,293.986
2013-08-20,13:21:30,,30,0,0,1,0,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.097,0.001,293.987
2013-08-20,13:22:00,,30,0,0,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069,0.001,293.987
2013-08-20,13:22:30,,30,0,0,2,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.097,0.001,293.988
2013-08-20,13:23:00,,30,0,1,0,0,2,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0.122,0.001,293.989
2013-08-20,13:23:30,,30,0,2,0,4,2,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0.168,0.001,293.991
2013-08-20,13:24:00,,30,0,0,1,1,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105,0.001,293.991
2013-08-20,13:24:30,,30,0,1,0,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.001,293.992
2013-08-20,13:25:00,,30,0,0,0,2,1,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113,0.001,293.993
2013-08-20,13:25:30,,30,0,0,1,0,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0.113,0.001,293.994
2013-08-20,13:26:00,,30,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.0,293.994
2013-08-20,13:26:30,,30,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019,0.0,293.994
2013-08-20,13:27:00,,30,0,0,0,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073,0.001,293.995
2013-08-20,13:27:30,,30,0,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044,0.0,293.995
2013-08-20,13:28:00,,30,0,0,0,3,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.108,0.001,293.996
2013-08-20,13:28:30,,30,0,1,0,1,0,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.147,0.001,293.997
2013-08-20,13:29:00,,30,0,0,2,2,4,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0.001,293.999
2013-08-20,13:29:30,,30,0,1,1,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085,0.001,294.0
2013-08-20,13:30:00,,30,0,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047,0.0,294.0
2013-08-20,13:30:30,,30,0,0,1,1,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065,0.001,294.001
2013-08-20,13:31:00,,30,0,0,0,4,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108,0.001,294.001
2013-08-20,13:31:30,,30,0,0,1,6,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.093,0.001,294.002
2013-08-20,13:32:00,,30,0,0,4,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055,0.0,294.003
2013-08-20,13:32:30,,30,0,0,2,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072,0.001,294.003
2013-08-20,13:33:00,,30,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036,0.0,294.004
2013-08-20,13:33:30,,30,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026,0.0,294.004
2013-08-20,13:34:00,,30,0,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029,0.0,294.004
2013-08-20,13:34:30,,30,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028,0.0,294.004
2013-08-20,13:35:00,,30,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0.0,294.004
2013-08-20,13:35:30,,30,0,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0.0,294.005
2013-08-20,13:36:00,,30,0,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032,0.0,294.005
2013-08-20,13:36:30,,30,0,1,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027,0.0,294.005
2013-08-20,13:37:00,,30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.0,294.005
2013-08-20,13:37:30,,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,294.005
2013-08-20,13:38:00,,30,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027,0.0,294.005
2013-08-20,13:38:30,,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.0,294.005
2013-08-20,13:39:00,,30,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.0,294.006
